MPN,Qty,Designator,value,manufacturer,Category,SKU,Customer Supply,Customer Remark
BK-912-TR,1,BT1,Bat_2032,Memory Protection Devices (MPD),Battery Holders,1100839847
ALED7707TR,1,D1,LED,STMicroelectronics,LED Drivers,1104102559
R1-1/2C,1,R1,R,Essentra Components,Industrial Control,-
SW3821D/U,1,SW1,SW_DPST_x2,NKK Switches,Switches,-
